도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도12호선,문평5터널(광주),전라남도,나주시,문평면,대도리,724,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평5터널(무안),전라남도,나주시,문평면,대도리,690,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도10호선,미력1터널(순천),전라남도,보성군,노동면,명봉리,730,11.5,10.3,7.3,,9774,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,미력1터널(영암),전라남도,보성군,노동면,명봉리,741,11.5,10.3,7.3,,9774,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도10호선,미력2터널(순천),전라남도,보성군,미력면,용정리,124,11.5,10.3,7.3,,9774,전문관리기관,한국도로공사,보성지사,2012,
고속국도,고속국도60호선,미사터널(서울),경기도,가평군,설악면,미사리,2205,12.5,12.5,7.4,,28933,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,미사터널(양양),경기도,가평군,설악면,미사리,2193,12.5,12.5,7.4,,28933,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도50호선,반월터널(강릉0),경기도,안산시 상록구,부곡동,,359,10,7.2,6.7,,70461,전문관리기관,한국도로공사,군포지사,1991,
고속국도,고속국도50호선,반월터널(강릉1),경기도,안산시 상록구,부곡동,,286,10,7.2,6.7,,70461,전문관리기관,한국도로공사,군포지사,1991,
고속국도,고속국도50호선,반월터널(인천),경기도,안산시 상록구,부곡동,,760,13.6,10.8,8.3,,70461,전문관리기관,한국도로공사,군포지사,2001,
고속국도,고속국도40호선,반제터널(제천),경기도,안성시,원곡면,반제리,140,11.3,11.3,7.3,,31706,전문관리기관,한국도로공사,화성지사,2008,
고속국도,고속국도40호선,반제터널(평택),경기도,안성시,원곡면,반제리,140,11.3,11.3,7.3,,31706,전문관리기관,한국도로공사,화성지사,2008,
고속국도,고속국도60호선,발산1터널(서울),강원특별자치도,춘천시,남면,발산리,599,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산1터널(양양),강원특별자치도,춘천시,남면,발산리,633,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산2터널(서울),강원특별자치도,춘천시,남면,발산리,504,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산2터널(양양),강원특별자치도,춘천시,남면,발산리,480,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산3터널(서울),강원특별자치도,춘천시,남면,발산리,251,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산3터널(양양),강원특별자치도,춘천시,남면,발산리,254,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산4터널(서울),강원특별자치도,춘천시,남면,추곡리,387,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
고속국도,고속국도60호선,발산4터널(양양),강원특별자치도,춘천시,남면,추곡리,433,11.6,11.6,7.3,,29746,전문관리기관,서울춘천고속도로㈜,본사,2009,
